Model,N,Total Bound,Random Baseline,P,Risk,Color,Crossing N
Llama-3.1-8B,10853.0,51.58541386324845,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,11153.0,50.98404636703818,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,11461.0,50.39137369924386,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,11778.0,49.80582431552673,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,12104.0,49.227805401102366,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,12438.0,48.65932993588451,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,12782.0,48.09728474968987,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,13135.0,47.543644213203734,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,13499.0,46.9956481956919,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,13872.0,46.45663033469629,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,14255.0,45.925325343084715,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,14649.0,45.40065121636257,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,15054.0,44.882943155907576,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,15470.0,44.37248341865404,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,15898.0,43.868351759419944,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,16337.0,43.37198434333319,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,16789.0,42.88139807483362,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,17253.0,42.39797684305226,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,17730.0,41.92092763206437,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,18220.0,41.450515972289615,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,18724.0,40.98605942064739,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,19241.0,40.52871257710366,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,19773.0,40.07694891240781,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,20320.0,39.63107205329982,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,20882.0,39.19133882590442,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,21459.0,38.75796321435785,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,22052.0,38.33041369107742,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,22662.0,37.908236290469254,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,23288.0,37.49234832722091,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,23932.0,37.081645876733695,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,24593.0,36.6769922635808,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
