Model,patch_layer,patch_hook,target_layer,target_sort,horizon,perturbation,top_k,mean_kl_bits,std_kl_bits,mean_norm_l2,std_norm_l2,mean_cosine_distance,std_cosine_distance,mean_delta_norm,mean_relative_delta_norm,n_measurements,total_cached_tokens
Llama-3.1-8B,16,blocks.16.hook_resid_post,30,30,14,feature_shuffled_matched_norm,64,14.607869784037272,0.30915481093424724,1.5756305664304704,0.024610280380609955,0.9769976697270832,0.0036548097246548055,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,30,30,14,sae,64,8.530036547827342,0.3485403573841458,1.2383094288053966,0.02522037961726269,0.7661790478797186,0.009859252230645514,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,30,30,14,sae_over_feature_shuffle_ratio,64,0.5839343226586348,,0.785913560696362,,0.7842178867158862,,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,final,9999,full,feature_shuffled_matched_norm,64,9.775853989616273,0.42356953605552145,,0.0,,0.0,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,final,9999,full,sae,64,5.8593494854276145,0.5362908213621651,,0.0,,0.0,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,final,9999,full,sae_over_feature_shuffle_ratio,64,0.5993695785198209,,,,,,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,20,blocks.20.hook_resid_post,20,20,0,feature_shuffled_matched_norm,64,0.835484402520316,0.07678031378780327,0.5244149641385154,0.011662531516315312,0.12333011236928758,0.009241544546464872,18.515477710300022,0.5244027934377156,63,32256
Llama-3.1-8B,20,blocks.20.hook_resid_post,20,20,0,sae,64,1.2437894949837336,0.07807056334679625,0.5243923115351844,0.011663264760694519,0.16182349929733883,0.008796412173399472,18.515477710300022,0.5244027934377156,63,32256
Llama-3.1-8B,20,blocks.20.hook_resid_post,20,20,0,sae_over_feature_shuffle_ratio,64,1.488704626001069,,0.9999568040485491,,1.3121166938759483,,18.515477710300022,0.5244027934377156,63,32256
Llama-3.1-8B,20,blocks.20.hook_resid_post,21,21,1,feature_shuffled_matched_norm,64,2.3862868263607933,0.1714082871532159,0.744974450459556,0.017833760894369586,0.3392150719014425,0.017335375954763914,18.515477710300022,0.5244027934377156,63,32256
Llama-3.1-8B,20,blocks.20.hook_resid_post,21,21,1,sae,64,3.030301147037082,0.13707943984975207,0.9015393257141113,0.025164829493591216,0.3717283270661793,0.015174270384724048,18.515477710300022,0.5244027934377156,63,32256
